platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
pc,SPINTIRES: MUDRUNNER,77,6.8,10,71 Ratings,"['Simulation', 'Vehicle', 'Civilian']",Saber Interactive,30-Oct-17
pc,FULL THROTTLE REMASTERED,77,7.5,23,85 Ratings,"['Adventure', 'Point-and-Click']",Double Fine Productions,18-Apr-17
pc,LIFE IS STRANGE: BEFORE THE STORM,77,8,19,528 Ratings,"['Action Adventure', 'General']",Deck Nine Games,31-Aug-17
pc,THE DARKSIDE DETECTIVE,77,8.2,11,26 Ratings,"['Adventure', 'General', 'Point-and-Click']",Spooky Doorway,27-Jul-17
pc,BATMAN: THE ENEMY WITHIN - EPISODE 1: THE ENIGMA,76,6.6,34,60 Ratings,"['Adventure', 'Point-and-Click']",Telltale Games,8-Aug-17
pc,LAWBREAKERS,76,6.5,34,160 Ratings,"['Sci-Fi', 'Third-Person', 'Arcade', 'Action', 'Shooter', 'First-Person', 'Tactical']","Boss Key, Boss Key Productions",4-Aug-17
pc,TACOMA,76,6.4,56,147 Ratings,"['Adventure', 'General']","The Fullbright Company, Fullbright",1-Aug-17
pc,SECRET WORLD LEGENDS,76,5.1,9,48 Ratings,"['Role-Playing', 'Action Adventure', 'General', 'Massively Multiplayer']",Funcom,26-Jun-17
pc,OLD MAN'S JOURNEY,76,6.5,9,44 Ratings,"['Adventure', 'General']",Broken Rules,17-May-17
pc,HOB,76,7.5,29,117 Ratings,"['Action', 'Action Adventure', 'General', 'Open-World']",Runic Games,26-Sep-17
pc,MASTER X MASTER,76,7.6,12,22 Ratings,"['Strategy', 'Real-Time', 'MOBA']",NCSOFT,21-Jun-17
pc,FOR HONOR,76,5.2,31,943 Ratings,"['Action Adventure', 'General']",Ubisoft Montreal,13-Feb-17
pc,BATTLEFIELD 1: THEY SHALL NOT PASS,76,4.9,8,38 Ratings,"['Action', 'Shooter', 'First-Person', 'Tactical']",EA DICE,14-Mar-17
pc,GIGANTIC,76,8.4,12,45 Ratings,"['Strategy', 'Real-Time', 'MOBA']",Motiga,20-Jul-17
pc,BULLETSTORM: FULL CLIP EDITION,76,7,9,75 Ratings,"['Action', 'Shooter', 'First-Person', 'Arcade']",People Can Fly,7-Apr-17
pc,FUTURE UNFOLDING,76,6.6,11,14 Ratings,"['Action Adventure', 'Open-World']",Spaces of Play,15-Mar-17
pc,SERIOUS SAM'S BOGUS DETOUR,76,8.3,12,23 Ratings,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",Crackshell,20-Jun-17
pc,DIABLO III: RISE OF THE NECROMANCER,76,4.6,23,179 Ratings,"['Role-Playing', 'Action RPG']",Blizzard Entertainment,27-Jun-17
pc,OUTLAST 2,75,6.6,48,591 Ratings,"['Action Adventure', 'Survival']",Red Barrels,25-Apr-17
pc,RICK AND MORTY: VIRTUAL RICK-ALITY,75,6.3,14,20 Ratings,"['Simulation', 'General']",Owlchemy Labs,15-Apr-17
pc,VAPORUM,75,7.1,9,26 Ratings,"['Role-Playing', 'Action RPG']",Fatbot Games,28-Sep-17
pc,MIDDLE-EARTH: SHADOW OF WAR,75,4.2,17,982 Ratings,"['Action Adventure', 'Open-World']",Monolith Productions,9-Oct-17
