platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
ps4,CHILDREN OF MORTA,80.0,8.4,12,95,"Role-Playing, Adventure, General, Action RPG","Dead Mage Studio, Dead Mage",2019-10-15
pc,CHILDREN OF ZODIARCS,73.0,6.9,7,14,"Role-Playing, Japanese-Style",Cardboard Utopia,2017-07-18
ps4,CHILDREN OF ZODIARCS,81.0,5.8,8,18,"Role-Playing, Japanese-Style",Cardboard Utopia,2017-07-18
pc,CHRONOS: BEFORE THE ASHES,67.0,6.4,19,12,"Action Adventure, General",Gunfire Games,2020-12-01
ps4,CHRONOS: BEFORE THE ASHES,68.0,5.6,22,14,"Action Adventure, General",Gunfire Games,2020-12-01
pc,CITY OF BRASS,69.0,3.9,11,25,"Action Adventure, General",Uppercut Games Pty Ltd,2018-05-04
ps4,CITY OF BRASS,66.0,4.8,22,17,"Action Adventure, General",Uppercut Games Pty Ltd,2018-05-04
pc,CLOSE TO THE SUN,66.0,5.1,37,133,"Adventure, 3D, First-Person",Storm in a Teacup,2020-05-05
ps4,CLOSE TO THE SUN,68.0,5.3,11,21,"Adventure, 3D, First-Person",Storm in a Teacup,2019-10-29
pc,CLOUDPUNK,73.0,7.7,40,82,"Simulation, Vehicle, Civilian",ION LANDS,2020-04-23
ps4,CLOUDPUNK,64.0,6.9,16,17,"Simulation, Vehicle, Civilian",ION LANDS,2020-10-15
pc,CODE VEIN,72.0,7.6,18,433,"Role-Playing, Action RPG","Shift, Bandai Namco Games",2019-09-26
ps4,CODE VEIN,70.0,7.8,69,582,"Role-Playing, Action RPG","Shift, Bandai Namco Games",2019-09-27
pc,COFFEE TALK,75.0,7.6,11,35,"Adventure, Visual Novel",Toge Productions,2020-01-29
ps4,COFFEE TALK,70.0,6.3,8,15,"Adventure, Visual Novel",Toge Productions,2020-01-30
pc,CONAN EXILES,68.0,6.6,24,211,"Action Adventure, Survival",Funcom,2018-05-08
ps4,CONAN EXILES,68.0,5.2,32,183,"Action Adventure, Survival",Funcom,2018-05-08
pc,CONARIUM,71.0,6.3,23,61,"Adventure, 3D, First-Person",Zoetrope Interactive,2017-06-06
ps4,CONARIUM,65.0,5.1,9,15,"Adventure, 3D, First-Person",Zoetrope Interactive,2019-02-12
pc,CONTROL,85.0,7.3,33,1212,"Action Adventure, General",Remedy Entertainment,2019-08-27
ps4,CONTROL,82.0,7.2,63,2110,"Action Adventure, General",Remedy Entertainment,2019-08-27
pc,CONTROL: AWE,73.0,6.6,19,16,"Action Adventure, General",Remedy Entertainment,2020-08-27
ps4,CONTROL: AWE,76.0,6.9,16,30,"Action Adventure, General",Remedy Entertainment,2020-08-27
pc,CONTROL: THE FOUNDATION,77.0,6.3,20,36,"Action Adventure, General",Remedy Entertainment,2020-03-26
ps4,CONTROL: THE FOUNDATION,78.0,6.3,13,51,"Action Adventure, General",Remedy Entertainment,2020-03-26
pc,COSMIC STAR HEROINE,77.0,7.1,8,25,"Console-style RPG, Console-style RPG, Role-Playing, Japanese-Style",Zeboyd Games,2017-04-11
ps4,COSMIC STAR HEROINE,76.0,7.5,8,47,"Console-style RPG, Console-style RPG, Role-Playing, Japanese-Style",Zeboyd Games,2017-04-11
pc,COZY GROVE,72.0,5.9,8,8,"Adventure, General",Spry Fox,2021-04-08
ps4,COZY GROVE,71.0,5.0,7,5,"Adventure, General",Spry Fox,2021-04-08
pc,CRASH BANDICOOT 4: IT'S ABOUT TIME,83.0,5.1,8,63,"Action, Platformer, 3D",Toys for Bob,2021-03-26
ps4,CRASH BANDICOOT 4: IT'S ABOUT TIME,85.0,8.1,95,693,"Action, Platformer, 3D",Toys for Bob,2020-10-02
pc,CRASH BANDICOOT N. SANE TRILOGY,76.0,8.3,8,211,"Miscellaneous, Compilation","Vicarious Visions, Iron Galaxy Studios",2018-06-29
ps4,CRASH BANDICOOT N. SANE TRILOGY,80.0,8.4,85,1291,"Miscellaneous, Compilation",Vicarious Visions,2017-06-30
pc,CREAKS,82.0,8.2,18,59,"Adventure, General",Amanita Design,2020-07-22
ps4,CREAKS,83.0,7.3,7,14,"Adventure, General",Amanita Design,2020-07-22
pc,CROSSCODE,86.0,8.2,13,165,"Role-Playing, Action RPG",Radical Fish Games,2018-09-20
ps4,CROSSCODE,81.0,7.4,19,42,"Role-Playing, Action RPG",Radical Fish Games,2020-07-09
pc,CROSSING SOULS,70.0,6.6,26,49,"Action Adventure, General",Fourattic,2018-02-13
ps4,CROSSING SOULS,75.0,6.9,22,35,"Action Adventure, General",Fourattic,2018-02-13
pc,CRYSIS REMASTERED,69.0,3.6,22,166,"Action, Shooter, First-Person, Arcade",Saber Interactive,2020-09-18
ps4,CRYSIS REMASTERED,59.0,3.8,17,56,"Action, Shooter, First-Person, Arcade",Saber Interactive,2020-09-18
pc,CRYSIS REMASTERED TRILOGY,79.0,6.9,9,25,"Miscellaneous, Compilation",Crytek,2021-10-15
ps4,CRYSIS REMASTERED TRILOGY,74.0,6.4,25,23,"Miscellaneous, Compilation",Crytek,2021-10-15
pc,CUPHEAD,88.0,8.3,31,1427,"Action, Platformer, 2D",Studio MDHR,2017-09-29
ps4,CUPHEAD,86.0,8.3,15,257,"Action, Platformer, 2D",Studio MDHR,2020-07-28
pc,CURSE OF THE DEAD GODS,78.0,7.5,20,41,"Role-Playing, Action RPG",Passtech Games,2021-02-23
ps4,CURSE OF THE DEAD GODS,79.0,7.6,11,19,"Role-Playing, Action RPG",Passtech Games,2021-02-23
pc,CYBER SHADOW,82.0,7.0,19,50,"Action, Platformer, 2D","Aarne ""MekaSkull"" Hunziker",2021-01-26
ps4,CYBER SHADOW,78.0,7.1,13,14,"Action, Platformer, 2D",Mechanical Head Studios,2021-01-26
pc,CYBERPUNK 2077,86.0,7.1,92,30319,"Action RPG, Role-Playing, Action RPG",CD Projekt Red Studio,2020-12-10
ps4,CYBERPUNK 2077,57.0,3.7,38,10234,"Role-Playing, Action RPG","CD Projekt Red Studio, CD Projekt",2020-12-10
pc,DAKAR 18,59.0,6.1,11,20,"Racing, Arcade, Automobile",Bigmoon Entertainment,2018-09-25
ps4,DAKAR 18,53.0,5.3,14,24,"Racing, Arcade, Automobile",Bigmoon Entertainment,2018-09-25
pc,DARK DEVOTION,72.0,7.5,19,38,"Action Adventure, General",Hibernian Workshop,2019-04-25
ps4,DARK DEVOTION,72.0,6.0,7,10,"Action Adventure, General","Hibernian Workshop, The Arcade Crew",2019-10-24
pc,DARK SOULS III: THE RINGED CITY,82.0,8.3,22,252,"Role-Playing, Action RPG",From Software,2017-03-28
ps4,DARK SOULS III: THE RINGED CITY,82.0,8.4,28,253,"Role-Playing, Action RPG",From Software,2017-03-28
pc,DARK SOULS REMASTERED,84.0,7.5,8,611,"Role-Playing, Action RPG",From Software,2018-05-23
ps4,DARK SOULS REMASTERED,84.0,8.0,53,1117,"Role-Playing, Action RPG",From Software,2018-05-25
pc,DARKSIDERS GENESIS,77.0,7.6,70,235,"Role-Playing, Action RPG",Airship Syndicate Entertainment,2019-12-05
ps4,DARKSIDERS GENESIS,77.0,7.3,27,99,"Role-Playing, Action RPG",Airship Syndicate Entertainment,2020-02-14
pc,DARKSIDERS III,70.0,7.1,43,588,"Action Adventure, Open-World","Gunfire Games, THQ Nordic",2018-11-27
ps4,DARKSIDERS III,64.0,7.0,59,534,"Action Adventure, Open-World","Gunfire Games, THQ Nordic",2018-11-27
pc,DARKWOOD,80.0,8.2,16,138,"Action Adventure, Horror, Survival",Acid Wizard Studio,2017-07-17
ps4,DARKWOOD,80.0,7.8,25,45,"Action Adventure, Survival",Acid Wizard Studio,2019-05-14
pc,DAUNTLESS,78.0,5.3,15,233,"Role-Playing, Action RPG",Phoenix Labs,2019-05-21
ps4,DAUNTLESS,80.0,3.9,13,124,"Role-Playing, Action RPG",Phoenix Labs,2019-05-21
pc,DAYMARE: 1998,62.0,6.8,22,155,"Action Adventure, Survival",Invader Studios,2019-09-17
ps4,DAYMARE: 1998,53.0,7.0,28,107,"Action Adventure, Survival",Invader Studios,2020-04-28
pc,DAYS GONE,76.0,8.6,47,681,"Action Adventure, Open-World",Sony Bend,2021-05-18
ps4,DAYS GONE,71.0,8.4,109,9287,"Action Adventure, Open-World",Sony Bend,2019-04-26
pc,DEAD CELLS,89.0,8.1,34,496,"Action, Platformer, 2D",Motion Twin,2018-08-07
ps4,DEAD CELLS,87.0,7.7,31,241,"Action, Platformer, 2D",Motion Twin,2018-08-07
pc,DEAD OR ALIVE 6,73.0,5.0,8,156,"Action, Fighting, 3D","Team Ninja, Koei Tecmo Games",2019-03-01
ps4,DEAD OR ALIVE 6,72.0,5.3,71,325,"Action, Fighting, 3D","Team Ninja, Koei Tecmo Games",2019-03-01
pc,DEATH STRANDING,86.0,7.7,54,1851,"Action, General",Kojima Productions,2020-07-14
ps4,DEATH STRANDING,82.0,7.3,111,17878,"Action, General",Kojima Productions,2019-11-08
pc,DEATH'S GAMBIT,71.0,7.3,18,76,"Role-Playing, Action RPG",White Rabbit Interactive,2018-08-13
ps4,DEATH'S GAMBIT,72.0,7.2,31,77,"Role-Playing, Action RPG",White Rabbit Interactive,2018-08-14
pc,DELIVER US THE MOON,68.0,7.8,14,109,"Adventure, General",KeokeN Interactive,2019-10-10
ps4,DELIVER US THE MOON,77.0,6.6,21,42,"Adventure, General",KeokeN Interactive,2020-04-24
pc,DESCENDERS,78.0,6.8,7,26,"Racing, Arcade, Automobile",RageSquid,2019-05-07
ps4,DESCENDERS,75.0,4.8,15,12,"Racing, Arcade, Automobile",RageSquid,2020-08-25
pc,DESERT CHILD,60.0,6.4,7,8,"Racing, Arcade, Futuristic",Oscar Brittain,2018-12-11
