platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
pc,THE WALKING DEAD: THE TELLTALE SERIES - A NEW FRONTIER EPISODE 3: ABOVE THE LAW,74.0,6.6,31.0,67,"Adventure, Point-and-Click",Telltale Games,2017-03-28
pc,ALONE WITH YOU,74.0,5.3,13.0,7,"Adventure, General",Benjamin Rivers,2017-02-09
pc,EXPEDITIONS: VIKING,74.0,8,33.0,119,"Role-Playing, Strategy, Turn-Based, General, Tactics",Logic Artists,2017-04-27
pc,MAGES OF MYSTRALIA,74.0,8.5,21.0,26,"Action Adventure, General, Linear",Borealys Games,2017-05-18
pc,MILKMAID OF THE MILKY WAY,74.0,7,9.0,7,"Adventure, Point-and-Click",machineboy,2017-01-04
pc,THE WALKING DEAD: THE TELLTALE SERIES - A NEW FRONTIER EPISODE 5: FROM THE GALLOWS,74.0,6.5,27.0,65,"Adventure, Point-and-Click",Telltale Games,2017-05-30
pc,ORIENTAL EMPIRES,74.0,7.9,16.0,24,"Strategy, Turn-Based, 4X",Shining Pixel Studios,2017-09-14
pc,MINECRAFT: STORY MODE SEASON TWO - EPISODE 2: GIANT CONSEQUENCES,74.0,6.3,8.0,27,"Adventure, Point-and-Click",Telltale Games,2017-08-15
pc,MIRAGE: ARCANE WARFARE,74.0,3.7,10.0,13,"Action, Shooter, First-Person, Tactical",Torn Banner Studios,2017-05-23
pc,REGALIA: OF MEN AND MONARCHS,73.0,7.8,27.0,36,"Role-Playing, Strategy, Turn-Based, Japanese-Style, Tactics",Pixelated Milk,2017-05-18
pc,MEGA MAN LEGACY COLLECTION 2,73.0,8.6,7.0,52,"Miscellaneous, Compilation","Capcom, Now Production, Bullets",2017-08-08
pc,CHILDREN OF ZODIARCS,73.0,6.9,7.0,14,"Role-Playing, Japanese-Style",Cardboard Utopia,2017-07-18
pc,SPELLFORCE 3,73.0,7.5,37.0,171,"Strategy, Real-Time, Tactics",Grimlore Games,2017-12-07
pc,STARPOINT GEMINI WARLORDS,73.0,7.1,11.0,22,"Strategy, General",Little Green Men,2017-05-23
pc,YOOKA-LAYLEE,73.0,6.5,32.0,330,"Action, Platformer, 3D",Playtonic Games,2017-04-05
pc,CALL OF DUTY: WWII,73.0,3.9,21.0,876,"Action, Shooter, First-Person, Arcade",Sledgehammer Games,2017-11-02
pc,THE SURGE,72.0,6.7,33.0,262,"General, Role-Playing, Action RPG",Deck 13,2017-05-16
pc,TOWER 57,72.0,6.8,10.0,12,"Action, Shooter, Shoot-Em-Up, Top-Down",Pixwerk,2017-11-16
pc,MASS EFFECT: ANDROMEDA,72.0,5,37.0,4310,"Action RPG, Role-Playing, Action RPG",BioWare,2017-03-21
pc,THE WARDROBE,72.0,7.3,8.0,13,"Adventure, Point-and-Click",C.I.N.I.C. Games,2017-02-15
pc,PURRFECT DATE,72.0,4.6,10.0,8,"Adventure, Visual Novel",The Bae Team,2017-12-15
pc,STYX: SHARDS OF DARKNESS,72.0,7.7,38.0,114,"Action Adventure, General",Cyanide,2017-03-14
pc,DREAM DADDY: A DAD DATING SIMULATOR,72.0,7.5,18.0,97,"Simulation, Virtual, Virtual Life",Game Grumps,2017-07-20
pc,ECHO (2017),72.0,6.5,20.0,40,"Action Adventure, General",Ultra Ultra,2017-09-19
pc,NARCOSIS,72.0,7.2,15.0,17,"Action Adventure, Horror, Survival","Narcosis Team, Honor Code, Inc.",2017-03-28
pc,THE MAGE'S TALE,72.0,7.5,12.0,11,"Adventure, General",InXile Entertainment,2017-06-20
pc,MARVEL'S GUARDIANS OF THE GALAXY - EPISODE 3: MORE THAN A FEELING,72.0,7.1,10.0,17,"Action, Adventure, General, 3D, Third-Person",Telltale Games,2017-08-22
pc,KINGDOMS AND CASTLES,72.0,7.3,10.0,26,"Strategy, Real-Time, General","Lion Shield, LLC",2017-07-20
pc,MARVEL'S GUARDIANS OF THE GALAXY - EPISODE 2: UNDER PRESSURE,72.0,5.9,12.0,29,"Action, Adventure, General, 3D, Third-Person",Telltale Games,2017-06-06
pc,ALBION ONLINE,72.0,5.2,8.0,182,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Historic",Sandbox Interactive,2017-07-17
pc,SENRAN KAGURA: ESTIVAL VERSUS,71.0,7.2,7.0,37,"Action, General",Tamsoft,2017-03-17
pc,CONARIUM,71.0,6.3,23.0,61,"Adventure, 3D, First-Person",Zoetrope Interactive,2017-06-06
pc,MINECRAFT: STORY MODE SEASON TWO - EPISODE 3: JAILHOUSE BLOCK,71.0,7.4,8.0,28,"Adventure, Point-and-Click",Telltale Games,2017-09-19
pc,TITAN QUEST: RAGNAROK,71.0,6.8,11.0,21,"Role-Playing, Action RPG",Iron Lore Entertainment,2017-11-17
pc,ARKTIKA.1,71.0,8.1,8.0,16,"Action, Shooter, First-Person, Tactical",4A Games,2017-10-10
pc,ALWA'S AWAKENING,71.0,6.7,13.0,10,"Action Adventure, Open-World",Elden Pixels,2017-02-02
pc,LEGO WORLDS,71.0,6.5,8.0,73,"Action Adventure, Sandbox",TT Games,2017-03-07
pc,THE WALKING DEAD: THE TELLTALE SERIES - A NEW FRONTIER EPISODE 4: THICKER THAN WATER,71.0,6.2,30.0,51,"Adventure, Point-and-Click",Telltale Games,2017-04-25
pc,MARVEL'S GUARDIANS OF THE GALAXY - EPISODE 4: WHO NEEDS YOU,71.0,6.6,9.0,21,"Action, Adventure, General, 3D, Third-Person",Telltale Games,2017-10-10
pc,SNAKE PASS,71.0,7.2,9.0,55,"Action Adventure, Puzzle, Action, General",Sumo Digital,2017-03-28
pc,MINECRAFT: STORY MODE SEASON TWO - EPISODE 1: HERO IN RESIDENCE,71.0,4.7,11.0,31,"Adventure, Point-and-Click",Telltale Games,2017-07-11
pc,BATMAN: THE ENEMY WITHIN - EPISODE 2: THE PACT,71.0,7.3,19.0,25,"Adventure, Point-and-Click",Telltale Games,2017-09-26
pc,APORIA: BEYOND THE VALLEY,71.0,7,9.0,22,"Adventure, 3D, First-Person",Investigate North,2017-07-19
pc,OVIVO,71.0,7.5,9.0,11,"Action, Platformer, 2D",IzHard,2017-05-12
pc,A NORMAL LOST PHONE,71.0,7,8.0,21,"Simulation, General",Accidental Queens,2017-01-26
pc,BATMAN: THE ENEMY WITHIN - EPISODE 3: THE FRACTURED MASK,71.0,7.3,18.0,26,"Adventure, Point-and-Click",Telltale Games,2017-11-21
pc,LOOT RASCALS,71.0,7,8.0,6,"Action Adventure, General",Hollow Ponds,2017-03-07
pc,PINSTRIPE,71.0,7.5,16.0,31,"Miscellaneous, Action Adventure, General",Thomas Brush,2017-04-24
pc,PRO CYCLING MANAGER 2017,71.0,6.5,7.0,6,"Sports, Individual, Biking",Cyanide,2017-06-15
pc,BEAT COP,71.0,7.4,19.0,74,"Simulation, Virtual, Career",Pixel Crow,2017-03-30
pc,ARK: SURVIVAL EVOLVED,70.0,6.4,18.0,484,"Action Adventure, Survival, Sandbox",Studio Wildcard,2017-08-29
pc,TOKYO 42,70.0,7,24.0,18,"General, Action, Shooter, Shoot-Em-Up, Top-Down",SMAC Games,2017-05-31
pc,YONDER: THE CLOUD CATCHER CHRONICLES,70.0,6.6,15.0,33,"Action Adventure, Open-World",Prideful Sloth,2017-07-17
pc,IMMORTAL REDNECK,70.0,7.1,12.0,37,"Action, Shooter, First-Person, Arcade","CremaGames, Crema Games",2017-04-25
pc,BLACKWOOD CROSSING,70.0,6.5,14.0,15,"Adventure, General",PaperSeven,2017-04-04
pc,HALO WARS 2,70.0,6.1,21.0,146,"Strategy, Real-Time, General",Creative Assembly,2017-02-17
pc,ROAD REDEMPTION,70.0,7.1,18.0,43,"Driving, Car Combat, Car Combat, Simulation, Vehicle, Combat",Dark Seas Games,2017-10-04
pc,MARVEL'S GUARDIANS OF THE GALAXY - EPISODE 1: TANGLED UP IN BLUE,70.0,5.6,21.0,36,"Action, Adventure, General, 3D, Third-Person",Telltale Games,2017-04-18
pc,SUDDEN STRIKE 4,70.0,7.5,16.0,73,"Strategy, Real-Time, General",Kite Games,2017-08-11
pc,TOKYO DARK,70.0,6.4,20.0,22,"Adventure, Point-and-Click","Square Enix, Cherrymochi",2017-09-07
pc,MR. SHIFTY,70.0,6.8,17.0,19,"Action, Shooter, Shoot-Em-Up, Top-Down",Team Shifty,2017-04-13
pc,THE FIDELIO INCIDENT,69.0,6.2,12.0,29,"Adventure, 3D, First-Person","Act 3 Games, LLC",2017-05-23
pc,"WARHAMMER 40,000: SANCTUS REACH",69.0,6.8,12.0,29,"Strategy, Real-Time, General",Strayllight Entertainment,2017-01-19
pc,TOM CLANCY'S GHOST RECON: WILDLANDS,69.0,6.6,31.0,711,"Action Adventure, Open-World",Ubisoft Paris,2017-03-06
pc,AER: MEMORIES OF OLD,69.0,6.5,18.0,54,"Action Adventure, General, Open-World","Daedalic Entertainment, Forgotten Key",2017-10-25
pc,DOOM VFR,69.0,7.8,11.0,64,"Action, Shooter, First-Person, Light Gun, Arcade",id Software,2017-11-30
pc,DESYNC,69.0,7,18.0,15,"Action, Shooter, First-Person, Arcade",Foregone,2017-02-28
pc,THE SIGNAL FROM TOLVA,69.0,6.1,8.0,9,"Adventure, 3D, First-Person",Big Robot Ltd,2017-04-10
